"state","abb","date_StayHomeOrder_issued"
"Alabama","AL",2020-04-03
"Alaska","AK",2020-03-28
"Arizona","AZ",2020-03-31
"Arkansas","AR",NA
"California","CA",2020-03-19
"Colorado","CO",2020-03-26
"Connecticut","CT",2020-03-23
"Delaware","DE",2020-03-24
"Florida","FL",2020-04-03
"Georgia","GA",2020-04-03
"Hawaii","HI",2020-03-25
"Idaho","ID",2020-03-25
"Illinois","IL",2020-03-21
"Indiana","IN",2020-03-24
"Iowa","IA",NA
"Kansas","KS",2020-03-30
"Kentucky","KY",2020-03-26
"Louisiana","LA",2020-03-23
"Maine","ME",2020-04-02
"Maryland","MD",2020-03-30
"Massachusetts","MA",2020-03-24
"Michigan","MI",2020-03-24
"Minnesota","MN",2020-03-27
"Mississippi","MS",2020-04-03
"Missouri","MO",2020-04-06
"Montana","MT",2020-03-28
"Nebraska","NE",NA
"Nevada","NV",2020-04-01
"New Hampshire","NH",2020-03-27
"New Jersey","NJ",2020-03-21
"New Mexico","NM",2020-03-24
"New York","NY",2020-03-22
"North Carolina","NC",2020-03-30
"North Dakota","ND",NA
"Ohio","OH",2020-03-23
"Oklahoma","OK",2020-04-01
"Oregon","OR",2020-03-23
"Pennsylvania","PA",2020-04-01
"Rhode Island","RI",2020-03-28
"South Carolina","SC",2020-04-07
"South Dakota","SD",NA
"Tennessee","TN",2020-04-02
"Texas","TX",2020-04-02
"Utah","UT",NA
"Vermont","VT",2020-03-25
"Virginia","VA",2020-03-30
"Washington","WA",2020-03-23
"West Virginia","WV",2020-03-24
"Wisconsin","WI",2020-03-25
"Wyoming","WY",NA
